Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
OR7D4	19	9210276	9219589
ZNF841	19	52064466	52095765
GGT1	22	24556007	24629005
SNAPC1	14	61762420	61796428
STMND1	6	17102258	17131372
KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54832710	54847746
CFAP99	4	2418974	2462942
KRTAP10-11	21	44646414	44647650
CHMP7	8	23243637	23262000
KRTAP10-3	21	44557790	44558760
CMTM8	3	32238679	32370321
BPIFB1	20	33273480	33309871
KRTAP10-12	21	44697172	44698044
FOXQ1	6	1312098	1314758
WDR61	15	78277835	78299703
LILRB2	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944
SNX17	2	27370496	27377535
KRTAP10-4	21	44573724	44638284
SMIM14	4	39546336	39638902
FANCI	15	89243949	89317261
MILR1	17	64449037	64468643
HDHD5	22	17137511	17165287
HIF1A	14	61695513	61748259
RNF4	4	2462220	2625320
KRTAP10-5	21	44579455	44580604
MMP11	22	23768226	23784316
KRTAP10-8	21	44612079	44612954
KRTAP12-4	21	44654213	44654659
KRTAP10-7	21	44600597	44602174
LZTFL1	3	45823316	45916042
WSCD1	17	6057807	6124427
VWA7	CHR_HSCHR6_MHC_APD_CTG1	31832609	31844312
GPC5	13	91398621	92873682
KLHL25	15	85759326	85794925
CLDN34	X	9967358	9968352
F2RL3	19	16888860	16892606
CLEC14A	14	38254103	38256369
PCYT1B	X	24558087	24672677
POC5	5	75674124	75717481
ALDH8A1	6	134917393	134950115
TRIM10	CHR_HSCHR6_MHC_DBB_CTG1	30142269	30151257
ELOVL2	6	10980759	11044305
CHCHD10	22	23765834	23768443
BHLHE40	3	4979116	4985323
UBE2C	20	45812576	45816957
MGAT5B	17	76868456	76950393
TFAP2D	6	50713828	50772988
GLDN	15	51341655	51408005
CABCOCO1	10	61662961	61766766
CHAF1A	19	4402640	4445018
TTLL13P	15	90249530	90265482
GPR12	13	26755200	26760786
C22orf15	22	23763021	23765861
CDKN2AIPNL	5	134402065	134411881
SMDT1	CHR_HSCHR22_2_CTG1	42079691	42084284
DCDC1	11	30830369	31369810
ITM2B	13	48232612	48270357
ODAM	4	70196496	70204576
CIB1	15	90229975	90234047
DNAJC25-GNG10	9	111631386	111670229
CDH18	5	19471296	20575873
C3orf14	3	62318973	62336213
DNAJC25	9	111631334	111654351
TUBB8P12	18	47390	49557
MRRF	9	122264603	122331337
CASS4	20	56412112	56460387
ADAMTS16	5	5140330	5320304
OGDHL	10	49734641	49762379
CMTM7	3	32391671	32483067
LINC02203	15	21552795	21653276
APPBP2	17	60443158	60526242
GNG10	9	111661605	111670226
CARMIL1	6	25279078	25620530
ZNF513	2	27377235	27380790
USPL1	13	30617693	30660770
GDPGP1	15	90233808	90245811
CYTH3	7	6161776	6272644
LILRA2	CHR_HSCHR19_4_CTG3_1	54581134	54595774
OCA2	15	27754875	28099315
FOXF2	6	1389576	1395603
PTPRG	3	61561569	62297609
APTX	9	32972606	33025168
MVB12A	19	17405722	17433724
ARHGAP24	4	85475150	86002668
TOMM7	7	22812628	22822852
NGRN	15	90265659	90278141
OFD1	X	13734745	13769357
TRIM55	8	66126896	66175485
ZNF699	19	9294275	9309838
CCR9	3	45886504	45903175
EFCAB14	1	46675159	46719114
ZDHHC11B	5	710355	784729
CMTM6	3	32481312	32502852
PSMB5	14	23016543	23035230
RBM24	6	17281361	17293871
FAXC	6	99271168	99350062
SIN3A	15	75369379	75455842
GRIK3	1	36795527	37034515
MSGN1	2	17816496	17817101
DNAJA4	15	78264086	78282196
BTG3	CHR_HSCHR21_6_CTG1_1	17604145	17612947
TPM2	9	35681992	35690121
FAM227A	22	38578120	38656629
FFAR2	19	35443907	35451767
SMIM13	6	11093834	11138733
GPR137	11	64270062	64289500
PRKCI	3	170222424	170305977
ERVFRD-1	6	11102489	11111725
EPHB6	CHR_HSCHR7_2_CTG6	142916237	142932255
MEOX1	17	43640389	43661922
TTC37	5	95461755	95555007
APBB3	5	140558268	140564781
MPIG6B	CHR_HSCHR6_MHC_COX_CTG1	31706001	31714117
DNAJC11	1	6634168	6701924
ADAMTS6	5	65148738	65481920
ZNF100	CHR_HSCHR19_2_CTG2	21732245	21777028
NEDD9	6	11183298	11382348
IKZF1	7	50304068	50405101
ZNF616	19	52113091	52139938
SF1	11	64764606	64778786
C20orf27	20	3753508	3768387
DNAH3	16	20933111	21159441
GOLPH3	5	32124716	32174319
PRB1	CHR_HSCHR12_5_CTG2	11351822	11356402
LRIT2	10	84220495	84225589
CACNA1I	22	39570753	39689737
AGBL1	15	86079973	87029052
ZNF836	19	52153864	52171643
OSTC	4	108650585	108667820
EFEMP1	2	55865967	55924139
RPS4Y2	Y	20756164	20781032
GPR32	19	50770464	50771732
FOXC1	6	1609915	1613897
RBM18	9	122237622	122264840
KCNS3	2	17877847	18361616
DGKQ	4	958887	986895
LATS2	13	20973036	21061586
ACP4	19	50790415	50795224
MOG	CHR_HSCHR6_MHC_COX_CTG1	29653572	29668964
AFMID	17	78187317	78207701
ARMC10	CHR_HSCHR7_1_CTG4_4	103086630	103099764
PHACTR4	1	28369582	28500364
FAM193A	4	2536631	2732565
MBOAT1	6	20102145	20212399
EXOC6	10	92834713	93059493
PLEKHM1	CHR_HSCHR17_2_CTG5	45435902	45490401
POLRMT	19	617221	633537
RTP4	3	187368385	187372076
RGR	10	84230666	84259960
ATPAF2	17	17977409	18039209
USP12	13	27066156	27171811
CNTNAP1	17	42682531	42699993
AMPD3	11	10308313	10507579
SLC6A1	3	10992186	11039247
MAD2L1	4	120055623	120066858
OTUB2	CHR_HSCHR14_7_CTG1	94026329	94049624
BAD	11	64269830	64284704
TMEM159	16	21158377	21180616
OR10C1	CHR_HSCHR6_MHC_DBB_CTG1	29439235	29440906
NAPEPLD	CHR_HSCHR7_1_CTG4_4	103099776	103149564
OR12D2	CHR_HSCHR6_MHC_DBB_CTG1	29396471	29397539
PSMB11	14	23042167	23043331
OR11A1	CHR_HSCHR6_MHC_DBB_CTG1	29425439	29457001
OSBPL5	11	3087107	3166739
CAMK2N1	1	20482391	20486210
TFAP2B	6	50818723	50847619
SDK1	7	3301252	4269000
OR12D3	CHR_HSCHR6_MHC_DBB_CTG1	29373478	29450027
SLC26A1	4	979073	993440
E2F3	6	20401879	20493714
LRPPRC	2	43886224	43995989
LRRC30	18	7231125	7232047
THAP3	1	6624866	6635586
ARID5B	10	61901684	62096944
CCR10	17	42678889	42683917
LY6G6C	CHR_HSCHR6_MHC_COX_CTG1	31706055	31709252
KRTAP20-3	21	30642864	30643136
KRTAP21-3	21	30718525	30718777
SST	3	187668912	187670394
OR2H1	CHR_HSCHR6_MHC_DBB_CTG1	29457111	29464258
KRTAP21-1	21	30755015	30755428
KRTAP21-2	21	30746794	30747233
IDUA	4	986997	1004564
DLGAP2	CHR_HSCHR8_7_CTG1	1627028	1708042
KRTAP8-1	21	30812697	30813252
WWC3	X	10015562	10144478
HASPIN	17	3723903	3726699
KRTAP7-1	21	30829039	30829759
ITGAE	17	3714628	3801188
NDUFA6	CHR_HSCHR22_2_CTG1	42085525	42090955
MAN2C1	15	75355207	75368612
AKAP6	14	32329298	32837684
HLA-E	CHR_HSCHR6_MHC_COX_CTG1	30479321	30484059
CASP9	1	15490832	15526534
EPB41L4B	9	109171975	109320964
DRC3	17	17972813	18016889
CLN8	CHR_HSCHR8_7_CTG1	1755340	1786132
JRKL	11	96389989	96507574
RIMS1	6	71886703	72403143
MRPS18B	CHR_HSCHR6_MHC_MCF_CTG1	30696164	30704850
CSMD1	8	2935353	4994972
SRSF6	20	43457896	43464243
NUDT9	4	87422573	87459455
LRIT1	10	84231593	84241461
SPATA31E1	9	87882826	87888899
ZNF148	3	125225561	125375354
POTEB	15	21846329	21877703
ABCF1	CHR_HSCHR6_MHC_QBL_CTG1	30560870	30586674
SPATA5	4	122923078	123319433
TPD52	8	80034745	80231232
PELI2	14	56117814	56301524
SELENOM	22	31104772	31120069
ZC3H7A	16	11750586	11797258
ZNF43	CHR_HSCHR19_2_CTG2	21814429	21818511
DDX24	CHR_HSCHR14_7_CTG1	94050920	94081245
CDKL5	X	18425583	18653629
FGD2	6	37005646	37029069
PPP1R10	CHR_HSCHR6_MHC_MCF_CTG1	30678854	30697067
CAGE1	6	7326656	7389742
MYH1	17	10492307	10518542
SCYL1	11	65525077	65538704
ERMARD	CHR_HSCHR6_1_CTG4	169751622	169781584
KRTAP11-1	21	30880644	30881555
ZC3H12A	1	37474580	37484377
SERPINB12	18	63556160	63567011
SFRP5	10	97766751	97771999
BCL6	3	187721377	187745725
RDH14	2	18554723	18560679
NT5C1B-RDH14	2	18555545	18589564
MRPL21	11	68891276	68903835
TUBB	6	30720352	30725426
KRTAP19-8	21	31038159	31038476
NRXN3	14	78170373	79868290
MDFIC2	3	70196894	70312726
KIR2DL2	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54754688	54769216
GPR151	5	146513103	146516190
SIPA1L1	14	71320449	71741229
RIC3	11	8106056	8169055
NT5C1B	2	18562872	18589572
IL5RA	3	3066326	3126613
CCDC70	13	51861981	51866232
USP9Y	Y	12537650	12860839
MYH4	17	10443290	10469559
FAM220A	7	6329411	6348981
CELA2B	1	15465909	15491400
PPP2R2B	5	146581146	147084784
VILL	3	37988059	38007188
NAGPA	16	5024844	5034141
RTTN	18	70003031	70205945
ETNPPL	4	108742048	108763054
LCK	1	32251239	32286165
CELA2A	1	15456728	15472091
LSP1	11	1852970	1892267
LILRA1	CHR_HSCHR19_4_CTG3_1	54601794	54610302
MYH2	17	10521148	10549700
USP14	18	158383	214629
ZNF718	4	124501	202303
TUB	11	8019244	8106112
RTP2	3	187698259	187702557
TNNC2	20	45823214	45833745
MRPL3	3	131462212	131502983
DELE1	5	141923855	141942047
SSR1	6	7268306	7347446
COL27A1	9	114155537	114312511
SMC4	3	160399274	160434954
ACVR2B	3	38453890	38493142
GATM	15	45361124	45402327
SLC35A4	5	140564828	140569100
KIAA0355	CHR_HSCHR19_2_CTG3_1	34351514	34355586
KIR2DS2	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54738502	54752797
IRS2	13	109752695	109786583
KIR3DL3	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54724479	54736497
NIM1K	5	43192071	43280850
RS1	X	18639910	18672109
RAI14	5	34656328	34832612
SLMAP	3	57755450	57929168
RRP12	10	97356358	97426076
ZFP57	6	29672392	29681110
SCD	10	100347233	100364826
THOC1	18	214520	268050
SLC25A2	5	141302629	141304045
CYP26C1	10	93060798	93069540
SPATA5L1	15	45402336	45421415
TAF7	5	141260225	141320821
SCNN1A	12	6346843	6377730
CYP26A1	10	93073475	93077885
EEF2KMT	16	5084304	5097808
AS3MT	10	102869470	102901899
GNL1	CHR_HSCHR6_MHC_APD_CTG1	30605288	30617469
SERPINB13	18	63586989	63604639
PTPDC1	9	94030794	94109856
BNIP3L	8	26383054	26505636
KRTDAP	19	35487324	35495558
FRG2C	3	75664330	75667220
GPC6	13	93226807	94408020
ZNF550	19	57535257	57559863
KLHL31	6	53647916	53665756
TBC1D20	20	435480	462543
DMXL2	15	51447711	51622833
NECAP2	1	16440721	16460078
ICE1	5	5420664	5490220
BORCS7-ASMT	10	102854272	102901899
MTRNR2L8	11	10507887	10509189
ZNF732	4	270675	305321
GALR1	18	77250549	77277896
PREX1	20	48624252	48827999
BORCS7	10	102854223	102864961
TRIM15	CHR_HSCHR6_MHC_DBB_CTG1	30153514	30163004
MYH8	17	10390322	10421950
PTPN3	9	109375466	109498313
ZNF706	8	101177878	101206193
PPARGC1B	5	149730298	149855022
LENG8	CHR_HSCHR19LRC_PGF1_CTG3_1	54379038	54392337
RNF141	11	10511673	10541230
SOST	17	43753738	43758791
NF2	22	29603556	29698598
ZNF549	19	57527325	57557542
LILRB4	CHR_HSCHR19LRC_COX1_CTG3_1	54594151	54602395
COQ3	6	99369401	99394195
PPM1D	17	60600183	60666280
SMDT1	CHR_HSCHR22_3_CTG1	42079691	42084284
SEC14L5	16	4958330	5019157
LENG9	CHR_HSCHR19LRC_PGF1_CTG3_1	54392112	54394035
BRPF1	3	9731729	9748018
SLC18A1	8	20144855	20183206
LRR1	14	49598761	49614672
OPA1	3	193593144	193697823
LTBP3	11	65538805	65558930
DPYSL2	8	26514031	26658178
TRPV6	CHR_HSCHR7_2_CTG6	142932365	142946922
C16orf89	16	5044122	5066110
TNRC6A	16	24610209	24827632
PLEC	8	143915147	143976734
TAF8	6	42050513	42087461
CNTN4	3	2098813	3057959
MAS1L	CHR_HSCHR6_MHC_DBB_CTG1	29486696	29487832
LYVE1	11	10556966	10611689
LTBR	12	6375045	6391571
UST	6	148747030	149076990
LUC7L	16	188969	229463
DDX39B	CHR_HSCHR6_MHC_QBL_CTG1	31520488	31536841
PPL	16	4882507	4960741
MRVI1	11	10573091	10693988
RPS29	14	49570984	49599164
SGK2	20	43558968	43588237
SAP18	13	21140514	21149084
PRR35	16	560394	565529
ODF2	9	128455186	128501292
CCDC8	19	46410329	46413662
PNMA8C	19	46424697	46428951
APOA5	11	116789367	116792420
PNMA8A	19	46466491	46471563
CRKL	22	20917407	20953747
MEGF11	CHR_HSCHR15_2_CTG8	65909030	66265884
APOA4	11	116820700	116823304
VPS13B	8	99013266	99877580
PHAX	5	126600925	126627252
NDUFA6	CHR_HSCHR22_3_CTG1	42085525	42090955
PTPRM	18	7566782	8406861
FKBPL	CHR_HSCHR6_MHC_COX_CTG1	32077157	32078741
SUMO4	6	149400227	149401292
RAC1	7	6374527	6403967
IL18BP	11	71998541	72005715
PGRMC2	4	128269237	128288829
NEIL1	15	75346955	75357114
DNAJA1	9	33025273	33039907
VARS	CHR_HSCHR6_MHC_APD_CTG1	31844536	31862971
TAB2	6	149218641	149411613
ZNF507	19	32345594	32387667
ABCA7	19	1040101	1065572
SHOC1	9	111686173	111795008
ALG1	16	5033923	5087379
CEP120	5	123344885	123423592
ZNF169	9	94259311	94301454
CYP2D6	CHR_HSCHR22_3_CTG1	42126495	42130902
WNT8B	10	100463041	100483744
COL9A3	20	62816244	62841159
FAM160A1	4	151409176	151670503
PNMA2	8	26504701	26514092
MRPS28	8	79918717	80030289
C3orf80	3	160225496	160228213
CAPSL	5	35904288	35938779
IFT80	3	160256986	160399880
RPL35A	3	197949980	197956610
POLB	8	42338454	42371808
ZP2	16	21197450	21214510
GPATCH8	17	44395281	44503430
TMEM252	9	68536580	68540867
JADE2	5	134524312	134583230
SKIL	3	170357678	170396835
DIXDC1	11	111927144	112022584
NOX4	11	89324353	89498187
SS18	18	26016253	26091217
CSTB	21	43772511	43776445
AGPAT1	CHR_HSCHR6_MHC_COX_CTG1	32116683	32126567
FLOT1	CHR_HSCHR6_MHC_COX_CTG1	30717565	30732592
ARNTL	11	13276652	13387266
MARCH6	5	10353695	10440388
DPY19L3	19	32405543	32485895
TIAM1	21	31118416	31559977
ZNF717	3	75678660	75785583
ALOX5AP	13	30713478	30764426
LAMTOR1	11	72085895	72103297
CRH	8	66176376	66178464
CDC42EP5	CHR_HSCHR19LRC_PGF1_CTG3_1	54395351	54403578
NCR3LG1	11	17351726	17377341
R3HCC1	8	23270120	23296279
L3MBTL1	20	43489442	43550950
FZD2	17	44557459	44559570
IQCG	3	197889077	197960142
LILRA3	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726
ISL2	15	76336773	76342475
HLA-DMA	CHR_HSCHR6_MHC_APD_CTG1	32987867	32992379
ZNF331	19	53519527	53580269
INPP5K	17	1494577	1516742
BRD9	5	850291	892801
CORO2B	15	68578969	68727806
TIMM23B	10	49942049	49974850
ACCS	11	44065925	44084222
LRRC1	6	53794497	53924125
CAMK2B	7	44217150	44334577
TEX43	5	126631705	126636284
PRR33	11	1888577	1891895
AGAP6	10	49988318	50010499
KCNJ11	11	17385859	17389331
MEDAG	13	30906271	30925572
SNX1	15	64094123	64146090
FAM126A	7	22889371	23014130
PARG	10	49818279	49970203
TEX26	13	30932656	30975500
HLA-DMB	CHR_HSCHR6_MHC_APD_CTG1	32973881	32992379
MUC4	CHR_HSCHR3_4_CTG3	195746774	195792809
ORM1	9	114323056	114326475
LRTOMT	11	72080331	72110782
MCCD1	CHR_HSCHR6_MHC_QBL_CTG1	31518986	31520501
TCTA	3	49412206	49416475
CCDC85A	2	56183990	56386172
GOLGA6A	15	74069857	74082550
ATP6V1G2	CHR_HSCHR6_MHC_QBL_CTG1	31534725	31537107
LILRA5	CHR_HSCHR19LRC_PGF2_CTG3_1	54314236	54320273
ZNF114	19	48270081	48287608
SAPCD1	CHR_HSCHR6_MHC_MCF_CTG1	31839095	31841147
ORM2	9	114329869	114333256
ETV2	19	35641745	35644871
RHOA	3	49359145	49412998
IMMP1L	11	31432401	31509645
DUSP3	17	43766125	43778977
ZNF559-ZNF177	19	9324174	9382617
MSH5	CHR_HSCHR6_MHC_MCF_CTG1	31816274	31839440
DIO2	14	80197527	80387757
TCFL5	20	62841115	62861763
CDH24	14	23047062	23057538
COX6C	8	99873200	99893707
LILRA4	CHR_HSCHR19LRC_PGF2_CTG3_1	54316049	54346292
TRIM59	3	160432445	160485773
LAIR2	CHR_HSCHR19LRC_PGF1_CTG3_1	54428232	54441459
TXNL1	18	56597209	56651600
CCHCR1	CHR_HSCHR6_MHC_MCF_CTG1	31220974	31236769
KIAA2026	9	5881596	6008482
GPI	CHR_HSCHR19_2_CTG3_1	34359480	34381539
TMEM86B	19	55226639	55229264
TRIM50	7	73312539	73328082
RTF2	20	56468585	56519449
PPP6R1	19	55229779	55259017
DNAJC24	11	31369840	31432835
UNC45B	17	35147817	35189345
BAALC	8	103140713	103230305
SIRPB2	20	1470741	1491587
PKHD1	6	51615300	52087625
MLANA	9	5890802	5910606
FZD6	8	103298433	103332866
LST1	CHR_HSCHR6_MHC_MANN_CTG1	31625572	31628357
CLSTN2	3	139935185	140577397
HM13	20	31514410	31577923
ZDHHC11	5	795606	850986
NSFL1C	20	1442162	1473842
APOC3	11	116829706	116833072
WDR7	18	56651343	57036606
POU5F1	6	31164337	31180731
PRRT1	CHR_HSCHR6_MHC_COX_CTG1	32096815	32102831
MUL1	1	20499448	20508151
RRP1	21	43789513	43805293
SDF2	17	28648356	28662189
POLG2	17	64477785	64497054
CHMP1B	18	11851396	11854449
FEZF2	3	62369681	62374324
ZNF559	19	9323772	9351162
CFAP97D1	17	43780435	43787612
MPPE1	18	11882622	11909223
NUMA1	11	72002864	72080693
CHD2	15	92900189	93027996
SMDT1	CHR_HSCHR22_1_CTG1	42079691	42124100
PPT2	CHR_HSCHR6_MHC_COX_CTG1	32101899	32112151
C9orf66	9	212824	215893
PIM3	22	49960768	49964072
NDUFA6	CHR_HSCHR22_1_CTG1	42085525	42090955
TCF3	19	1609284	1652615
DOCK8	9	214854	465259
LENG1	CHR_HSCHR19LRC_COX1_CTG3_1	54156104	54160226
FDCSP	4	70226071	70235252
ARL8B	3	5122245	5180912
MEAF6	1	37492575	37514774
CNOT3	CHR_HSCHR19LRC_COX1_CTG3_1	54138182	54156190
MDH1	2	63588609	63607197
ANKRD66	6	46746917	46759506
RYR3	15	33310945	33866121
GMDS	6	1623806	2245605
PPP1R10	CHR_HSCHR6_MHC_MANN_CTG1	30645036	30663248
SPEF1	20	3777504	3781448
PDCD2L	19	34404399	34426168
ZNF416	19	57571566	57578911
ADPGK	15	72751369	72785846
ZIK1	19	57578456	57593890
CHCHD2	7	56101573	56106476
GCNT7	20	56491492	56525925
FAM43B	1	20552573	20555020
FAM209A	20	56517187	56526152
GPI	19	34359480	34402413
UBE2Q2L	15	84172490	84182234
EDEM1	3	5187646	5219958
RTKN2	10	62183035	62268844
NUPR2	7	56114681	56116417
DHX58	17	42101404	42112714
MEP1A	6	46793389	46839782
CDA	1	20589086	20618903
ZNF177	19	9363020	9382617
USP45	6	99432379	99521728
CSN3	4	70242588	70251428
MRPS18B	CHR_HSCHR6_MHC_MANN_CTG1	30662345	30671031
CENPB	20	3783851	3786740
CBR3	21	36135079	36146562
SRY	Y	2786855	2787699
SYT16	14	61811974	62112550
CABS1	4	70334981	70337116
FIGNL1	7	50444128	50542535
ADD3	10	109996368	110135565
ECI2	6	4115689	4135597
HBB	11	5225464	5229395
DOP1B	21	36156782	36294274
CBY1	22	38656636	38673854
HERC2	15	28111040	28322172
WDPCP	2	63119559	63827843
SERPINB4	18	63637259	63644298
CCDC114	19	48296457	48321894
NCR3	CHR_HSCHR6_MHC_MANN_CTG1	31628343	31632433
CALM3	19	46601074	46610793
CDK20	9	87966441	87974753
SALL3	18	78980275	79002677
ST6GALNAC4	9	127907886	127917041
ATP11A	13	112690329	112887168
OLIG2	21	33025935	33029196
DDC	7	50458436	50565405
TMEM221	19	17435509	17448668
ZNF154	19	57697367	57709194
NXNL1	19	17455425	17460954
MCM4	8	47960185	47978160
ZNF776	19	57746815	57758148
EMP3	19	48321509	48330553
C21orf62	21	32790673	32813743
TMEM260	14	56488354	56650606
ZNF530	19	57599885	57612722
ULK3	15	74836118	74843346
OLIG1	21	33070141	33072413
ARHGAP23	17	38419280	38512385
NUTM2F	9	94318196	94328644
ZNF211	19	57630395	57644041
LOXL2	8	23297189	23425328
EGFL8	CHR_HSCHR6_MHC_COX_CTG1	32113054	32116752
DDOST	1	20651767	20661544
SPINK8	3	48306842	48328341
MOG	CHR_HSCHR6_MHC_QBL_CTG1	29656888	29672280
KIR3DL2	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54849620	54866390
TIPIN	15	66336191	66386746
ZNF134	19	57614233	57624724
MSH5-SAPCD1	CHR_HSCHR6_MHC_MCF_CTG1	31816303	31841147
ENTPD4	8	23385783	23457695
RRS1	8	66429014	66430733
ZNF551	19	57681969	57717301
TOP3A	17	18271428	18315007
ADHFE1	8	66432492	66468907
PNMA8B	19	46486906	46496498
ZNF671	19	57719751	57727624
PPP5D1	19	46480796	46601200
KIR2DL3	CHR_HSCHR19LRC_COX1_CTG3_1	54669793	54684345
PINK1	1	20633458	20651511
HLA-A	CHR_HSCHR6_MHC_MCF_CTG1	30021043	30024386
ZSCAN4	19	57668935	57679152
C6orf132	6	42101119	42142620
ZNF365	10	62374192	62670301
TACC1	8	38728186	38853028
CREB5	7	28299321	28825894
PIGQ	16	566995	584136
FBXW12	3	48372219	48401259
INPP5J	22	31122731	31134697
CCNC	6	99542387	99568825
HLA-G	CHR_HSCHR6_MHC_MCF_CTG1	29823845	29828003
KANK1	9	470291	746106
TRIM42	3	140678064	140701150
MRPL12	17	81703367	81707517
KIR3DL3	CHR_HSCHR19LRC_COX1_CTG3_1	54655800	54667814
ANKRD29	18	23598926	23662911
SMR3A	4	70360761	70367158
SLC25A10	17	81712236	81721016
RPS4Y1	Y	2841602	2932000
TPSAB1	16	1240705	1242554
TDRD1	10	114179270	114232304
PDE6A	5	149857953	149944793
TCAP	17	39664187	39666555
MRPL57	13	21176658	21179084
MCTS2P	20	31547412	31548081
SKA3	13	21153595	21176552
STARD3	17	39637090	39664201
UBE2W	8	73780097	73878910
RRM2	2	10120698	10211725
PIP5K1B	9	68705240	69009176
ADA2	22	17178790	17258235
FKBP6	7	73328161	73358637
COL4A1	13	110148963	110307157
CCSER2	10	84328586	84518521
FGF22	19	639879	644371
MFSD14B	9	94374551	94461042
FAM217A	6	4049434	4087344
CCDC43	17	44673069	44689779
TENM4	11	78652831	79440948
AKAP2	9	110048598	110172512
RBMY1B	Y	21511338	21549094
MRGPRG	11	3217944	3218813
RGS17	6	153004459	153131282
MID1IP1	X	38801432	38806537
NHLRC4	16	567005	569495
TMCO5A	15	37921939	37967724
MRGPRE	11	3225035	3232386
MEIOC	17	44656404	44690308
PRPF4B	6	4021267	4064983
SMR3B	4	70370093	70390244
PALM2-AKAP2	9	109780309	110172512
PCDHGA3	5	141343829	141512979
GUCA1A	6	42155406	42180056
PCDHGB2	5	141360042	141512979
PCDHGA11	5	141421047	141512975
FAM122A	9	68780034	68784608
GATB	4	151670504	151761007
RBMY1A1	Y	21511372	21549326
COL25A1	4	108808725	109302752
OPRPN	4	70397931	70410195
VXN	8	66493520	66518524
LY6G6D	CHR_HSCHR6_MHC_QBL_CTG1	31697128	31708139
SV2C	5	76083383	76353939
MTIF2	2	55236595	55269347
TANC2	17	63009556	63427699
TMEM170B	6	11537749	11583524
NCBP3	17	3802158	3846246
PALM2	9	109640788	109951476
TPSD1	16	1256059	1259008
PCDHGA6	5	141373914	141512979
LY6G6F	CHR_HSCHR6_MHC_QBL_CTG1	31697109	31700820
PCDHGB5	5	141397987	141512979
FBP1	9	94603133	94640249
LY6G6E	CHR_HSCHR6_MHC_QBL_CTG1	31702563	31704039
PCDHGA8	5	141390157	141512979
PPM1G	2	27381195	27409591
QRSL1	6	106629578	106668417
KIR2DL1	CHR_HSCHR19LRC_COX1_CTG3_1	54701102	54715618
ADO	10	62804857	62808483
PLCH2	CHR_HSCHR1_1_CTG3	2467459	2505530
PCDHGA4	5	141355021	141512975
ZNF384	12	6666477	6689572
C19orf48	19	50797704	50804929
ADGRF5	6	46852522	46954943
LSM2	CHR_HSCHR6_MHC_APD_CTG1	31864414	31874003
CDH12	5	21750673	22853622
FBP2	9	94558720	94593824
PCDHGB4	5	141387698	141512979
STAU2	8	73420369	73747708
PCDHGB3	5	141370242	141512975
PIWIL1	CHR_HSCHR12_5_CTG2_1	130337887	130372618
PCDHGA5	5	141364232	141512979
PCDHGA7	5	141382739	141512975
KLF6	10	3775996	3785281
SNIP1	1	37534449	37554293
LMNB1	5	126776623	126837020
GNAL	18	11689264	11885685
DNMT1	19	10133345	10231286
MAP2K1	15	66386817	66492312
UGT3A1	5	35951010	36001028
PCDHGA2	5	141338760	141512975
AKNA	9	114334156	114394405
KIR3DX1	CHR_HSCHR19LRC_PGF1_CTG3_1	54463149	54476118
CEP95	17	64506865	64542461
PCDHGA12	5	141430507	141512975
GIPR	19	45668221	45683722
NBPF1	1	16562319	16613562
RPS3	11	75399515	75422280
RLF	1	40161387	40240921
COX6B1	19	35648223	35658861
ELMO1	7	36854361	37449249
C6orf201	6	4079206	4130951
TCF19	6	31158547	31167159
CYP4B1	1	46757838	46819413
PCDHGB6	5	141408021	141512979
RPL21	13	27251309	27256691
PCDHGB7	5	141417645	141512979
FLOT1	6	30727709	30742732
SERPINB11	18	63647579	63726432
SNAPC5	15	66490135	66497780
RCC1	1	28505943	28539300
ZNF729	CHR_HSCHR19_3_CTG2	22294615	22294762
LILRA3	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352
PCDHGB1	5	141350102	141512979
ZNF676	CHR_HSCHR19_3_CTG2	22179091	22215686
AIPL1	17	6393693	6435199
FANCG	9	35073835	35080016
MYOF	10	93306429	93482334
PCDHGA1	5	141330571	141512981
PCDHGC3	5	141475947	141512977
COL4A2	13	110305812	110513209
ZC3H12D	6	149446795	149485061
DHX16	CHR_HSCHR6_MHC_APD_CTG1	30723385	30736950
HSPA1L	CHR_HSCHR6_MHC_APD_CTG1	31876648	31882094
ISLR2	15	74100311	74138540
HMGXB3	5	150000046	150053142
SMURF2	17	64542282	64662307
ROPN1L	5	10441524	10472029
PTRHD1	2	24789734	24793382
PIH1D2	11	112064010	112074274
SERPINB3	18	63655197	63661893
ZNF195	11	3339261	3379222
CENPO	2	24793136	24822376
MED10	5	6371874	6378571
SLC26A2	5	149960737	149993455
HSPA1A	CHR_HSCHR6_MHC_APD_CTG1	31882493	31884975
MLIP	6	53929982	54266280
PCDHGA9	5	141402932	141512979
TIGD6	5	149993118	150000654
SPESP1	15	68818221	68946811
PCDHGC5	5	141489121	141512979
NKAPD1	11	112074086	112085150
HSPA1B	CHR_HSCHR6_MHC_APD_CTG1	31894767	31897281
